cobertura,OBJECTID_1,ID,IDH,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
matorral abierto,212,,5,08_matorral_abierto_val_subset,0.06068352,0.056091927,0.28670123,0.20202515,0.1072057,0.672736,0.6506265,0.41043755,60_0,0.039680503
matorral abierto,213,,5,08_matorral_abierto_val_subset,0.07433078,0.07790386,0.29339606,0.2611099,0.1457076,0.58037233,0.5957283,0.37098396,61_0,0.052291263
matorral abierto,216,,5,08_matorral_abierto_val_subset,0.052580133,0.053625133,0.21785717,0.15829909,0.094566815,0.60494566,0.61114734,0.31931782,62_0,0.033424426
matorral abierto,217,,5,08_matorral_abierto_val_subset,0.04786918,0.038065717,0.26064593,0.12515749,0.068453,0.74513406,0.68968016,0.41801107,63_0,0.026537303
matorral abierto,225,,5,08_matorral_abierto_val_subset,0.03731457,0.030839115,0.23661332,0.12999171,0.06553515,0.7693862,0.72755915,0.4021895,64_0,0.017077727
matorral abierto,269,,5,08_matorral_abierto_val_subset,0.06064857,0.054877196,0.28964633,0.17834647,0.10170729,0.68143135,0.6537285,0.41698506,66_0,0.03868009
matorral abierto,283,,5,08_matorral_abierto_val_subset,0.04613838,0.03583967,0.26089108,0.13921368,0.07052047,0.75843644,0.69945306,0.4237029,67_0,0.024579503
matorral arborescente,8,,6,09_matorral_arborescente_val_subset,0.03981843,0.03211041,0.24794285,0.1275283,0.06526361,0.7706835,0.7232537,0.41503406,69_0,0.022977749
matorral arborescente,24,,6,09_matorral_arborescente_val_subset,0.04223093,0.033705812,0.253621,0.12403546,0.06494711,0.7653835,0.71451306,0.41897824,70_0,0.02699617
matorral arborescente,36,,6,09_matorral_arborescente_val_subset,0.04986157,0.049954157,0.30316272,0.176793,0.091276616,0.7170673,0.7175176,0.4452061,71_0,0.028637063
matorral arborescente,37,,6,09_matorral_arborescente_val_subset,0.047688067,0.041813947,0.2510168,0.1436986,0.07429462,0.7144156,0.6807011,0.39580235,72_0,0.027598072
matorral arborescente,58,,6,09_matorral_arborescente_val_subset,0.039769806,0.034612652,0.23878217,0.12891874,0.06457818,0.7467936,0.7144532,0.39598697,73_0,0.023230482
matorral arborescente,64,,6,09_matorral_arborescente_val_subset,0.04403608,0.03953077,0.24067126,0.15712743,0.07990497,0.71784097,0.6906572,0.38670847,75_0,0.024787826
matorral arborescente,89,,6,09_matorral_arborescente_val_subset,0.048244685,0.048004482,0.20094857,0.15274096,0.09676744,0.6143491,0.612793,0.30631578,76_0,0.025776263
matorral arborescente,91,,6,09_matorral_arborescente_val_subset,0.04521161,0.039648805,0.23805638,0.13227265,0.06834929,0.714454,0.6807856,0.3826789,78_0,0.02897657
matorral arborescente,151,,6,09_matorral_arborescente_val_subset,0.042775974,0.033866998,0.30598557,0.138972,0.067251794,0.80069596,0.75469786,0.48601133,80_0,0.021818208
matorral arborescente,181,,6,09_matorral_arborescente_val_subset,0.03436083,0.025422031,0.25978163,0.098863706,0.04828681,0.82172716,0.76636606,0.44770473,82_0,0.016967416
matorral arborescente,182,,6,09_matorral_arborescente_val_subset,0.0354932,0.02467926,0.3228283,0.1131525,0.04967782,0.85796416,0.80189186,0.5276927,83_0,0.017021388
matorral arborescente,183,,6,09_matorral_arborescente_val_subset,0.035357226,0.024508392,0.2710982,0.0990877,0.049012404,0.8341824,0.76925045,0.46490905,84_0,0.01762112
matorral arborescente,184,,6,09_matorral_arborescente_val_subset,0.03529449,0.027677251,0.27850404,0.09023371,0.041943155,0.81921005,0.77505,0.46669427,85_0,0.023618145
matorral arborescente,187,,6,09_matorral_arborescente_val_subset,0.05148992,0.044960205,0.29497233,0.16254894,0.084787,0.7354757,0.7027675,0.4464861,86_0,0.029000606
matorral arborescente,190,,6,09_matorral_arborescente_val_subset,0.02996772,0.017332507,0.32165238,0.103997566,0.040569473,0.89773875,0.8295449,0.54408586,88_0,0.0124437185
matorral arborescente,191,,6,09_matorral_arborescente_val_subset,0.047490284,0.035034515,0.4191127,0.1574239,0.07741934,0.84571296,0.79644245,0.60380334,89_0,0.021951852
matorral arborescente,192,,6,09_matorral_arborescente_val_subset,0.038544487,0.028233226,0.35196683,0.12642767,0.060047008,0.8514823,0.8025948,0.5516932,90_0,0.012600764
matorral arborescente,193,,6,09_matorral_arborescente_val_subset,0.043040592,0.028187718,0.3713066,0.14128335,0.063181974,0.858883,0.79224867,0.5721863,91_0,0.019430526
matorral arborescente,194,,6,09_matorral_arborescente_val_subset,0.038557153,0.028234217,0.3002759,0.1282853,0.061144155,0.8281075,0.77241206,0.4925257,92_0,0.019979607
matorral arborescente,196,,6,09_matorral_arborescente_val_subset,0.047058538,0.039511483,0.2242852,0.10197183,0.059850007,0.7004399,0.6531445,0.36287218,93_0,0.026380137
matorral arborescente,197,,6,09_matorral_arborescente_val_subset,0.045394823,0.042287376,0.23720376,0.14754413,0.07699131,0.69739735,0.6787328,0.3750839,94_0,0.024002539
matorral arborescente,198,,6,09_matorral_arborescente_val_subset,0.034804642,0.025449906,0.27753672,0.120116025,0.054523993,0.8320064,0.77713716,0.47090477,95_0,0.014301761
matorral arborescente,200,,6,09_matorral_arborescente_val_subset,0.038467605,0.030982073,0.23500158,0.14135773,0.07192109,0.76703775,0.71866953,0.39952454,96_0,0.022627106
matorral arborescente,205,,6,09_matorral_arborescente_val_subset,0.04133431,0.033856504,0.24230917,0.13086587,0.066982836,0.7548102,0.7085474,0.40285084,98_0,0.020504955
matorral arborescente,210,,6,09_matorral_arborescente_val_subset,0.03748338,0.027807355,0.2796047,0.11075113,0.051124033,0.8190874,0.7635775,0.46778595,99_0,0.024098024
matorral arborescente,218,,6,09_matorral_arborescente_val_subset,0.04450506,0.03434826,0.28831387,0.14582288,0.07216115,0.78709453,0.73255694,0.4630679,101_0,0.0271317
matorral arborescente,221,,6,09_matorral_arborescente_val_subset,0.031918485,0.023861313,0.26826724,0.11922283,0.05023308,0.8366383,0.7873418,0.4628149,102_0,0.018932564
matorral arborescente,242,,6,09_matorral_arborescente_val_subset,0.051147427,0.033996053,0.47184604,0.14992283,0.06979339,0.8655863,0.8044051,0.6529603,103_0,0.023723355
matorral arborescente,259,,6,09_matorral_arborescente_val_subset,0.047213595,0.041259352,0.2720172,0.1560511,0.08074148,0.73659474,0.704204,0.4256077,104_0,0.027174935
matorral arborescente,277,,6,09_matorral_arborescente_val_subset,0.036531005,0.031427626,0.27786836,0.13830763,0.06534146,0.79677963,0.767614,0.45676872,105_0,0.019732313
plantacion,292,,7,10_plantaciones_val_subset,0.037469,0.024818024,0.28948963,0.06992534,0.03186522,0.84207815,0.7708028,0.48753983,107_0,0.019597417
plantacion,295,,7,10_plantaciones_val_subset,0.036330555,0.024191568,0.29681328,0.07780952,0.04076029,0.849276,0.78189266,0.49808788,108_0,0.013597869
plantacion,320,,7,10_plantaciones_val_subset,0.023455385,0.01713337,0.1936148,0.06909347,0.03165709,0.8374043,0.7838912,0.3724556,110_0,0.010168854
plantacion,473,,7,10_plantaciones_val_subset,0.030831909,0.024959486,0.20422123,0.06288244,0.03582616,0.78218514,0.7376601,0.36875993,111_0,0.011607859
pradera,4,,8,11_pradera_val_subset,0.0660316,0.056689963,0.31433812,0.23694845,0.12802175,0.6944169,0.65280306,0.44369665,112_0,0.03992621
pradera,29,,8,11_pradera_val_subset,0.096202224,0.11937881,0.20306422,0.21958774,0.17403111,0.25953546,0.35707977,0.15262833,114_0,0.064549975
pradera,46,,8,11_pradera_val_subset,0.07265047,0.07246056,0.32472822,0.23420481,0.1254539,0.6351329,0.63435143,0.4217635,115_0,0.04058741
pradera,48,,8,11_pradera_val_subset,0.09518148,0.09360163,0.37720358,0.29201552,0.1653627,0.6023764,0.5970174,0.43819597,116_0,0.06642584
pradera,207,,8,11_pradera_val_subset,0.07313957,0.095452905,0.25490424,0.26841068,0.16689031,0.45511085,0.55408657,0.28126654,118_0,0.045444846
pradera,239,,8,11_pradera_val_subset,0.07179235,0.08640833,0.2881718,0.22581263,0.1271577,0.538639,0.6011139,0.34604627,119_0,0.03828864
pradera,241,,8,11_pradera_val_subset,0.0814529,0.06966367,0.4041081,0.21341568,0.10935082,0.70591885,0.6644998,0.51517886,120_0,0.037568226
pradera,245,,8,11_pradera_val_subset,0.06895624,0.050522532,0.3996968,0.1728677,0.08377274,0.7755648,0.70572585,0.5512005,121_0,0.027819026
pradera,267,,8,11_pradera_val_subset,0.07575807,0.074940816,0.30560404,0.25385293,0.14161886,0.60613936,0.60269743,0.39293265,123_0,0.046549458
pradera,330,,8,11_pradera_val_subset,0.0551268,0.042069238,0.38885322,0.17865351,0.083333775,0.804748,0.7516699,0.55877477,126_0,0.02603177
pradera,331,,8,11_pradera_val_subset,0.06959195,0.07481903,0.30403584,0.2562466,0.14092131,0.6050254,0.6274798,0.39121956,127_0,0.045716982
pradera,334,,8,11_pradera_val_subset,0.0683954,0.045596607,0.46256927,0.1972852,0.09169305,0.8205444,0.74237305,0.6203929,128_0,0.030098105
pradera,336,,8,11_pradera_val_subset,0.078602955,0.07437523,0.33657628,0.2437365,0.1315739,0.63803405,0.6213541,0.4317481,129_0,0.052625846
pradera,337,,8,11_pradera_val_subset,0.06553314,0.037907306,0.53151655,0.20579651,0.090486415,0.86685735,0.78047675,0.69234836,130_0,0.024680587
pradera,339,,8,11_pradera_val_subset,0.07143462,0.058774035,0.3659021,0.18864113,0.10004237,0.7232054,0.6733198,0.49821994,132_0,0.033570915
pradera,342,,8,11_pradera_val_subset,0.07000886,0.072106995,0.28234097,0.24571267,0.13024771,0.5931307,0.6026173,0.36906984,133_0,0.04516998
pradera,343,,8,11_pradera_val_subset,0.060805533,0.069144785,0.2324886,0.17779195,0.10232085,0.54153097,0.5853614,0.3056456,134_0,0.03910913
pradera,344,,8,11_pradera_val_subset,0.067031786,0.067756414,0.2797754,0.23720405,0.123664275,0.61007077,0.61343485,0.37524077,135_0,0.03993515
pradera,345,,8,11_pradera_val_subset,0.067302056,0.08633946,0.24000196,0.31622797,0.1950566,0.47086424,0.5619839,0.27893284,136_0,0.049496226
pradera,348,,8,11_pradera_val_subset,0.069092594,0.06783418,0.35449556,0.2306082,0.12055179,0.67876196,0.67377466,0.4662021,138_0,0.03667054
pradera,352,,8,11_pradera_val_subset,0.06399498,0.06536297,0.28378254,0.18882193,0.101930864,0.62558323,0.6319775,0.3858342,139_0,0.033799063
pradera,353,,8,11_pradera_val_subset,0.070382014,0.07597185,0.32241604,0.24133573,0.1326702,0.61860365,0.6416377,0.41147736,140_0,0.034246877
pradera,355,,8,11_pradera_val_subset,0.07124861,0.06878277,0.29546472,0.20782997,0.11754308,0.6223295,0.61142063,0.39343235,141_0,0.048343133
pradera,364,,8,11_pradera_val_subset,0.05843968,0.049804956,0.42027152,0.1775536,0.08769879,0.7880985,0.7558458,0.5728413,142_0,0.028496608
pradera,365,,8,11_pradera_val_subset,0.057814937,0.047883723,0.43342656,0.1743528,0.082655184,0.80102766,0.764617,0.58932865,143_0,0.02767632
pradera,368,,8,11_pradera_val_subset,0.06480507,0.07268789,0.30729568,0.18151923,0.09360185,0.6174156,0.65168,0.3999071,144_0,0.035144024
pastoreo,154,,8,12_pastoreo_val_subset,0.06478779,0.051628087,0.4233111,0.1847538,0.08763447,0.78259075,0.7345301,0.5718557,146_0,0.02984328
pastoreo,156,,8,12_pastoreo_val_subset,0.046299655,0.037912965,0.24756415,0.16347612,0.081324324,0.73438877,0.6848904,0.400364,147_0,0.026946109
pastoreo,158,,8,12_pastoreo_val_subset,0.04919494,0.047927894,0.2717937,0.19093713,0.099516325,0.7001898,0.69347864,0.4096497,148_0,0.030279286
pastoreo,327,,8,12_pastoreo_val_subset,0.07387159,0.046142213,0.48541835,0.21505883,0.099852115,0.8263896,0.73583794,0.6387547,150_0,0.033602748
